time,hastus tr 14,loop car 102,loop car 108,loop car 153,loop tr 14
1900-01-01 05:10:34.000,,1052000,,1052000,1052000
1900-01-01 05:10:56.000,,,,,599000
1900-01-01 05:10:59.000,,,,599000,599000
1900-01-01 05:11:00.000,,599000,,599000,599000
1900-01-01 05:11:02.000,,599000,,599000,599000
1900-01-01 05:17:21.000,,,,,292000
1900-01-01 05:17:24.000,,,,292000,292000
1900-01-01 05:17:26.000,,292000,,292000,292000
1900-01-01 05:17:28.000,,,,,4000
1900-01-01 05:17:31.000,,292000,,292000,292000
1900-01-01 05:17:32.000,,,,4000,4000
1900-01-01 05:17:35.000,,,,4000,4000
1900-01-01 05:17:36.000,,4000,,4000,4000
1900-01-01 05:17:43.000,,4000,,4000,4000
1900-01-01 05:17:48.000,,4000,,4000,4000
1900-01-01 05:18:18.000,,4000,,4000,4000
1900-01-01 05:19:00.000,581000,,,,
1900-01-01 05:20:29.000,,,,,1000
1900-01-01 05:20:33.000,,,,1000,1000
1900-01-01 05:20:36.000,,1000,,1000,1000
1900-01-01 05:20:40.000,,1000,,1000,1000
1900-01-01 05:21:04.000,,,,,4000
1900-01-01 05:21:09.000,,,,4000,4000
1900-01-01 05:21:10.000,,,,,4000
1900-01-01 05:21:15.000,,,,4000,4000
1900-01-01 05:21:17.000,,4000,,4000,4000
1900-01-01 05:21:25.000,,4000,,4000,4000
1900-01-01 05:21:28.000,,4000,,4000,4000
1900-01-01 05:22:00.000,0,,,,
1900-01-01 05:24:11.000,,,,,4000
1900-01-01 05:28:00.000,0,,,,
1900-01-01 05:28:06.000,,,4000,,4000
1900-01-01 05:28:10.000,,4000,4000,,4000
1900-01-01 05:28:12.000,,4000,4000,,4000
1900-01-01 05:30:47.000,,,,,599000
1900-01-01 05:31:00.000,581000,,,,
1900-01-01 05:31:22.000,,,599000,,599000
1900-01-01 05:31:23.000,,,,,599000
1900-01-01 05:31:25.000,,,599000,,599000
1900-01-01 05:31:26.000,,599000,599000,,599000
1900-01-01 05:31:27.000,,599000,599000,,599000
1900-01-01 05:31:28.000,,599000,599000,,599000
1900-01-01 05:31:31.000,,599000,599000,,599000
1900-01-01 05:37:59.000,,,,,1052000
1900-01-01 05:38:00.000,,,1052000,,1052000
1900-01-01 05:38:02.000,,1052000,1052000,,1052000
1900-01-01 05:38:04.000,,1052000,1052000,,1052000
1900-01-01 05:38:26.000,,,,,1080000
1900-01-01 05:38:27.000,,,1080000,,1080000
1900-01-01 05:38:29.000,,1080000,1080000,,1080000
1900-01-01 05:38:31.000,,1080000,1080000,,1080000
1900-01-01 05:39:04.000,,,,,1120000
1900-01-01 05:39:07.000,,,1120000,,1120000
1900-01-01 05:39:11.000,,1120000,1120000,,1120000
1900-01-01 05:39:19.000,,,,,1120000
1900-01-01 05:39:21.000,,1120000,1120000,,1120000
1900-01-01 05:40:00.000,1119000,,,,
1900-01-01 05:40:04.000,,,1120000,,1120000
1900-01-01 05:40:05.000,,,,,1120000
1900-01-01 05:40:07.000,,,,,1120000
1900-01-01 05:40:08.000,,1120000,1120000,,1120000
1900-01-01 05:40:09.000,,,1120000,,1120000
1900-01-01 05:40:10.000,,1120000,1120000,,1120000
1900-01-01 05:40:11.000,,1120000,1120000,,1120000
1900-01-01 05:40:13.000,,1120000,1120000,,1120000
1900-01-01 05:40:14.000,,1120000,1120000,,1120000
1900-01-01 05:40:17.000,,,,,1120000
1900-01-01 05:40:19.000,,,1120000,,1120000
1900-01-01 05:40:21.000,,1120000,1120000,,1120000
1900-01-01 05:40:22.000,,1120000,1120000,,1120000
1900-01-01 05:40:30.000,,,,,1215000
1900-01-01 05:40:32.000,,,1215000,,1215000
1900-01-01 05:40:34.000,,1215000,1215000,,1215000
1900-01-01 05:40:36.000,,1215000,1215000,,1215000
1900-01-01 05:40:44.000,,,,,1215000
1900-01-01 05:40:45.000,,,1215000,,1215000
1900-01-01 05:40:47.000,,1215000,1215000,,1215000
1900-01-01 05:40:49.000,,1215000,1215000,,1215000
1900-01-01 05:41:00.000,,,,,1244000
1900-01-01 05:41:01.000,,,1244000,,1244000
1900-01-01 05:41:03.000,,1244000,1244000,,1244000
1900-01-01 05:41:05.000,,1244000,1244000,,1244000
1900-01-01 05:41:11.000,,,,,1244000
1900-01-01 05:41:13.000,,,1244000,,1244000
1900-01-01 05:41:15.000,,1244000,1244000,,1244000
1900-01-01 05:41:16.000,,1244000,1244000,,1244000
1900-01-01 05:41:24.000,,,,,1244000
1900-01-01 05:41:25.000,,,1244000,,1244000
1900-01-01 05:41:27.000,,1244000,1244000,,1244000
1900-01-01 05:41:30.000,,1244000,1244000,,1244000
1900-01-01 05:41:39.000,,,,,1284000
1900-01-01 05:41:41.000,,,1284000,,1284000
1900-01-01 05:41:43.000,,1284000,1284000,,1284000
1900-01-01 05:41:45.000,,1284000,1284000,,1284000
1900-01-01 05:41:53.000,,,,,1284000
1900-01-01 05:41:55.000,,,1284000,,1284000
1900-01-01 05:41:57.000,,1284000,1284000,,1284000
1900-01-01 05:42:00.000,,1284000,1284000,,1284000
1900-01-01 05:42:03.000,,,1284000,,1284000
1900-01-01 05:42:07.000,,1284000,1284000,,1284000
1900-01-01 05:42:16.000,,1284000,1284000,,1284000
1900-01-01 05:43:00.000,1284000,,,,
1900-01-01 05:43:07.000,,,1284000,,1284000
1900-01-01 05:43:08.000,,,,,1284000
1900-01-01 05:43:10.000,,,,,1284000
1900-01-01 05:43:11.000,,1284000,1284000,,1284000
1900-01-01 05:43:12.000,,1284000,1284000,,1284000
1900-01-01 05:43:13.000,,1284000,1284000,,1284000
1900-01-01 05:43:14.000,,1284000,1284000,,1284000
1900-01-01 05:43:15.000,,1284000,1284000,,1284000
1900-01-01 05:43:16.000,,1284000,1284000,,1284000
1900-01-01 05:43:24.000,,,,,1394000
1900-01-01 05:43:26.000,,,1394000,,1394000
1900-01-01 05:43:29.000,,1394000,1394000,,1394000
1900-01-01 05:43:31.000,,1394000,1394000,,1394000
1900-01-01 05:43:39.000,,,,,1407000
1900-01-01 05:43:40.000,,,1407000,,1407000
1900-01-01 05:43:42.000,,1407000,1407000,,1407000
1900-01-01 05:43:44.000,,1407000,1407000,,1407000
1900-01-01 05:43:54.000,,,,,1425000
1900-01-01 05:43:55.000,,,1425000,,1425000
1900-01-01 05:43:57.000,,1425000,1425000,,1425000
1900-01-01 05:43:59.000,,1425000,1425000,,1425000
1900-01-01 05:44:07.000,,,,,1425000
1900-01-01 05:44:09.000,,,1425000,,1425000
1900-01-01 05:44:11.000,,1425000,1425000,,1425000
1900-01-01 05:44:12.000,,1425000,1425000,,1425000
1900-01-01 05:44:22.000,,,,,1425000
1900-01-01 05:44:24.000,,,1425000,,1425000
1900-01-01 05:44:26.000,,1425000,1425000,,1425000
1900-01-01 05:44:28.000,,1425000,1425000,,1425000
1900-01-01 05:44:47.000,,,,,1482000
1900-01-01 05:44:49.000,,,1482000,,1482000
1900-01-01 05:44:51.000,,1482000,1482000,,1482000
1900-01-01 05:44:52.000,,1482000,1482000,,1482000
1900-01-01 05:45:04.000,,,,,1482000
1900-01-01 05:45:05.000,,,1482000,,1482000
1900-01-01 05:45:07.000,,1482000,1482000,,1482000
1900-01-01 05:45:09.000,,1482000,1482000,,1482000
1900-01-01 05:45:17.000,,,,,1511000
1900-01-01 05:45:19.000,,,1511000,,1511000
1900-01-01 05:45:20.000,,1511000,1511000,,1511000
1900-01-01 05:45:22.000,,1511000,1511000,,1511000
1900-01-01 05:45:31.000,,,,,1511000
1900-01-01 05:45:33.000,,,1511000,,1511000
1900-01-01 05:45:35.000,,1511000,1511000,,1511000
1900-01-01 05:45:37.000,,1511000,1511000,,1511000
1900-01-01 05:45:48.000,,,,,1511000
1900-01-01 05:45:50.000,,,1511000,,1511000
1900-01-01 05:45:52.000,,1511000,1511000,,1511000
1900-01-01 05:45:55.000,,1511000,1511000,,1511000
1900-01-01 05:45:56.000,,,,,1549000
1900-01-01 05:46:00.000,,,1549000,,1549000
1900-01-01 05:46:05.000,,1549000,1549000,,1549000
1900-01-01 05:46:11.000,,,,,1549000
1900-01-01 05:46:13.000,,1549000,1549000,,1549000
1900-01-01 05:47:00.000,1539000,,,,
1900-01-01 05:47:04.000,,,1549000,,1549000
1900-01-01 05:47:05.000,,,,,1549000
1900-01-01 05:47:08.000,,1549000,1549000,,1549000
1900-01-01 05:47:10.000,,1549000,1549000,,1549000
1900-01-01 05:47:12.000,,,1549000,,1549000
1900-01-01 05:47:13.000,,1549000,1549000,,1549000
1900-01-01 05:47:14.000,,1549000,1549000,,1549000
1900-01-01 05:47:16.000,,1549000,1549000,,1549000
1900-01-01 05:47:28.000,,,,,1549000
1900-01-01 05:47:30.000,,,1549000,,1549000
1900-01-01 05:47:32.000,,1549000,1549000,,1549000
1900-01-01 05:47:34.000,,1549000,1549000,,1549000
1900-01-01 05:47:36.000,,,,,1697000
1900-01-01 05:47:38.000,,,1697000,,1697000
1900-01-01 05:47:40.000,,1697000,1697000,,1697000
1900-01-01 05:47:42.000,,1697000,1697000,,1697000
1900-01-01 05:47:55.000,,,,,1697000
1900-01-01 05:47:59.000,,1697000,1697000,,1697000
1900-01-01 05:48:01.000,,1697000,1697000,,1697000
1900-01-01 05:48:09.000,,,,,1697000
1900-01-01 05:48:11.000,,,1697000,,1697000
1900-01-01 05:48:13.000,,1697000,1697000,,1697000
1900-01-01 05:48:15.000,,1697000,1697000,,1697000
1900-01-01 05:48:37.000,,,,,1766000
1900-01-01 05:48:40.000,,,1766000,,1766000
1900-01-01 05:48:42.000,,1766000,1766000,,1766000
1900-01-01 05:48:44.000,,1766000,1766000,,1766000
1900-01-01 05:50:00.000,1738000,,,,
1900-01-01 05:52:00.000,1858000,,,,
1900-01-01 05:52:12.000,,,,,2005000
1900-01-01 05:52:14.000,,,2005000,,2005000
1900-01-01 05:52:17.000,,2005000,2005000,,2005000
1900-01-01 05:52:19.000,,2005000,2005000,,2005000
1900-01-01 05:53:01.000,,,,,2061000
1900-01-01 05:53:03.000,,,2061000,,2061000
1900-01-01 05:53:05.000,,2061000,2061000,,2061000
1900-01-01 05:53:07.000,,2061000,2061000,,2061000
1900-01-01 05:53:13.000,,,,,2079000
1900-01-01 05:53:15.000,,,2079000,,2079000
1900-01-01 05:53:17.000,,2079000,2079000,,2079000
1900-01-01 05:53:20.000,,2079000,2079000,,2079000
1900-01-01 05:54:11.000,,,,,2144000
1900-01-01 05:54:14.000,,,2144000,,2144000
1900-01-01 05:54:18.000,,2144000,2144000,,2144000
1900-01-01 05:54:27.000,,2144000,2144000,,2144000
